75
EXCADRILL,Ground/Steel
SILICOBRA,Ground
GLIGAR,Ground/Flying
TRAPINCH,Ground
GOLEM,Rock/Ground
WOOPER,Water/Ground
CUBONE,Ground
KLANG,Steel
SIMISEAR,Fire
ELGYEM,Psychic
LICKITUNG,Normal
HO-OH,Fire/Flying
DARMANITAN,Fire
FLAREON,Fire
DIGGERSBY,Normal/Ground
SAWSBUCK,Normal/Grass
HOPPIP,Grass/Flying
ROSELIA,Grass/Poison
SWADLOON,Bug/Grass
MUK,Poison
NATU,Psychic/Flying
BRAMBLIN,Grass/Ghost
HOUNDSTONE,Ghost
MEDITITE,Fighting/Psychic
NINJASK,Bug/Flying
ILLUMISE,Bug
CENTISKORCH,Fire/Bug
INCINEROAR,Fire/Dark
QUILLADIN,Grass
KELDEO,Water/Fighting
LEAFEON,Grass
GROVYLE,Grass
GOGOAT,Grass
MANECTRIC,Electric
GYARADOS,Water/Flying
LUXRAY,Electric
PONYTA,Fire
PATRAT,Normal
CHARMANDER,Fire
CHANDELURE,Ghost/Fire
PIKACHU,Electric
THWACKEY,Grass
QUILAVA,Fire
DRIFBLIM,Ghost/Flying
COTTONEE,Grass/Fairy
AZUMARILL,Water/Fairy
MACHOKE,Fighting
POLIWHIRL,Water
ZEBSTRIKA,Electric
PINSIR,Bug
MR.MIME,Psychic/Fairy
ARON,Steel/Rock
CLAMPERL,Water
GLASTRIER,Ice
REGISTEEL,Steel
POOCHYENA,Dark
STUFFUL,Normal/Fighting
SLAKING,Normal
BARBARACLE,Rock/Water
GRENINJA,Water/Dark
POPPLIO,Water
FINIZEN,Water
BIDOOF,Normal
DRAGONAIR,Dragon
PORYGON-Z,Normal
FEAROW,Normal/Flying
SHINX,Electric
WEAVILE,Dark/Ice
HITMONCHAN,Fighting
SHARPEDO,Water/Dark
GOOMY,Dragon
MUDKIP,Water
DRAGALGE,Poison/Dragon
PALKIA,Water/Dragon
LUVDISC,Water
